0	3
0	4
0	7
0	16
0	18
0	27
0	40
0	46
0	50
0	51
0	62
0	70
0	71
0	85
0	114
0	115
0	120
0	133
0	140
0	149
0	151
0	191
0	195
0	206
0	215
0	243
0	244
0	255
0	266
0	286
0	293
1	3
1	4
1	5
1	6
1	7
1	8
1	11
1	14
1	17
1	20
1	24
1	33
1	43
1	48
1	68
1	80
1	130
1	140
1	157
1	176
1	185
1	187
1	193
1	201
1	221
1	226
1	237
1	245
1	252
1	267
2	3
2	5
2	7
2	36
2	42
2	55
2	83
2	88
2	117
2	210
3	4
3	5
3	6
3	9
3	10
3	13
3	15
3	41
3	53
3	74
3	78
3	119
3	130
3	141
3	143
3	164
3	168
3	203
3	211
3	246
4	6
4	8
4	9
4	11
4	12
4	13
4	15
4	16
4	23
4	24
4	25
4	34
4	37
4	39
4	50
4	71
4	75
4	85
4	86
4	114
4	125
4	132
4	168
4	177
4	179
4	190
4	203
4	214
4	217
4	220
4	227
4	250
4	263
4	266
5	8
5	10
5	17
5	18
5	30
5	39
5	41
5	42
5	44
5	79
5	97
5	136
5	159
5	167
5	170
5	260
5	261
5	270
5	288
6	9
6	12
6	13
6	30
6	44
6	49
6	52
6	54
6	55
6	56
6	67
6	72
6	81
6	82
6	97
6	105
6	109
6	112
6	113
6	120
6	131
6	144
6	179
6	180
6	184
6	199
6	248
6	278
7	16
7	26
7	40
7	163
7	218
7	280
8	10
8	11
8	22
8	24
8	25
8	31
8	35
8	45
8	70
8	78
8	114
8	124
8	154
8	156
8	157
8	170
8	229
8	231
8	262
8	271
9	14
9	32
9	147
9	163
9	176
9	199
10	14
10	15
10	23
10	28
10	29
10	42
10	49
10	52
10	62
10	77
10	86
10	107
10	119
10	131
10	141
10	157
10	160
10	161
10	171
10	175
10	176
10	184
10	215
10	254
10	273
10	277
10	279
10	295
10	296
11	12
11	21
11	37
11	40
11	44
11	58
11	65
11	77
11	79
11	83
11	141
11	210
11	212
11	232
11	233
11	245
11	259
11	272
11	294
12	56
12	61
12	64
12	75
12	76
12	91
12	123
12	137
12	182
12	194
12	203
12	218
12	233
12	287
12	289
13	17
13	23
13	28
13	48
13	51
13	57
13	65
13	95
13	156
13	166
13	185
13	242
13	247
13	269
14	21
14	29
14	33
14	48
14	61
14	65
14	69
14	82
14	87
14	96
14	161
14	165
14	207
14	232
14	246
14	277
14	283
14	287
14	292
15	60
15	270
15	275
16	19
16	20
16	27
16	34
16	45
16	57
16	64
16	66
16	71
16	87
16	117
16	142
16	143
16	178
16	205
16	208
16	217
16	231
16	296
16	298
17	18
17	19
17	22
17	31
17	36
17	37
17	39
17	57
17	60
17	67
17	70
17	91
17	100
17	101
17	142
17	144
17	153
17	162
17	174
17	190
17	191
17	208
18	19
18	20
18	30
18	31
18	32
18	38
18	43
18	45
18	53
18	58
